i|I
aren't|are not
can't|cannot
couldn't|could not
couldnt|could not
didn't|did not
doesn't|does not
doesnt|does not
don't|do not
dont|do not
didnt|did not
hadn't|had not
hasn't|has not
haven't|have not
he'd|he had
he'll|he will
he's|he is
I'd|I had
I'll|I will
dunno|do not know
idk|i do not know
fck|fuck
hw|how
btw|by the way
whn|when
y|why
I'm|I am
im|I am
lets|let us
let's|let us
m|am
i'm|I am
I've|I have
m|am
im|i am
whos|who is
isn't|is not
it's|it is
its|it is
let's|let us
mustn't|must not
hv|have
shan't|shall not
she'd|she had
she'll|she will
she's|she is
shouldn't|should not
that's|that is
there's|there is
they'd|they had
they'll|they will
they're|they are
they've|they have
we'd|we had
we're|we are
we've|we have
weren't|were not
what'll|what will
what're|what are
what's|what is
what've|what have
where's|where is
who'd|who had
who'll|who will
who're|who are
who's|who is
who've|who have
won't|will not
wouldn't|would not
you'd|you had
you'll|you will
you're|you are
you've|you have
i'm|I am
u|you
ur|your
r|are
you're|you are
nt|not
doesnt|does not
isnt|is not
wasnt|was not
shouldnt|should not
couldnt|could not
wont|will not
won't|will not
cant|cannot
dont|do not
hasn't|has not
one's|one is
ain't|am not
aint|am not
n|and
there's|there is
haven't|have not
I'd|I had
isn't|is not
I've|I have
aren't|are not
that's|that is
n't|not
urs|yours
bcoz|because
coz|because
tmr|tomorrow
luv|love
brb|be right back
b4|before
howz|how is
fck|fuck
how's|how is
sup|what is up
wassup|what is up
whats|what is
u're|you are
u|you
urself|yourself
urslf|yourself
tday|today
bday|birthday
gotta|am going
gonna|going to
wanna|want to
havent|have not
's| is
deliver|delivered
@foodQuality| 
@delivery| 
dint|did not
owsome|awesome
osm|awesome
gud|good
awsome|awesome
awsm|awesome
guud|good